,유닛수,DropOut,층 개수,최적 개수,최소 rmse,최적 예측값
0,16,0,1,0,31445.46127518355,[[861405.1]]
1,16,0.2,1,0,36026.792865563184,[[801516.6]]
2,16,0.3,1,0,51420.71499693942,[[852939.56]]
3,16,0,2,0,22328.92409945954,[[838237.56]]
4,16,0.2,2,0,61750.16272874302,[[823028.9]]
5,16,0.3,2,0,81057.05584429165,[[787923.2]]
6,64,0,1,0,32933.914992164726,[[866702.8]]
7,64,0.2,1,0,27777.880837884957,[[851995.2]]
8,64,0.3,1,0,37994.22138154087,[[828513.7]]
9,64,0,2,0,24261.96687849432,[[840246.44]]
10,64,0.2,2,0,35245.5178078692,[[835412.3]]
11,64,0.3,2,0,55098.93181220761,[[828146.5]]
12,128,0,1,0,52865.20093138129,[[836390.94]]
13,128,0.2,1,0,27572.93383611551,[[856527.56]]
14,128,0.3,1,0,30753.379797563495,[[849225.1]]
15,128,0,2,1000,31831.073246258282,[[810150.8]]
16,128,0.2,2,0,34775.684140548045,[[861907.56]]
17,128,0.3,2,0,51344.20414062506,[[874322.1]]
